275,649,517,obtuse
766,661,545,acute
220,590,838,not
385,513,332,obtuse
699,305,832,obtuse
656,757,166,obtuse
317,255,508,obtuse
803,985,298,obtuse
89,403,490,obtuse
796,282,841,acute
892,58,306,not
60,444,817,not
527,102,608,obtuse
984,573,11,not
565,699,684,acute
51,859,362,not
345,727,234,not
976,415,477,not
648,966,299,not
131,839,586,not
909,581,158,not
96,512,444,obtuse
720,639,661,acute
428,141,639,not
585,270,527,acute
131,455,864,not
860,818,682,acute
784,723,68,obtuse
592,955,262,not
844,573,140,not
407,833,557,obtuse
481,47,993,not
433,736,296,not
734,177,577,obtuse
758,816,651,acute
2,197,816,not
924,658,572,obtuse
961,869,103,obtuse
666,133,222,not
284,973,319,not
814,602,498,obtuse
707,293,731,acute
134,857,930,obtuse
751,293,481,obtuse
46,48,530,not
789,326,525,obtuse
846,778,182,obtuse
402,882,940,acute
206,179,93,obtuse
333,267,758,not
471,819,201,not
994,522,672,obtuse
4,722,687,not
711,511,906,obtuse
604,426,855,obtuse
749,237,32,not
922,385,148,not
24,294,11,not
39,661,589,not
822,558,325,obtuse
406,35,16,not
857,931,548,acute
627,968,914,acute
440,357,780,obtuse
801,700,745,acute
713,843,468,acute
102,719,855,not
508,993,770,obtuse
755,568,35,not
194,513,22,not
732,224,456,not
82,677,459,not
573,474,832,obtuse
389,713,820,obtuse
125,300,937,not
625,817,292,obtuse
413,434,763,obtuse
835,846,852,acute
66,919,436,not
687,30,242,not
534,640,191,obtuse
252,1000,372,not
747,631,437,acute
657,382,227,not
544,615,772,acute
720,964,609,obtuse
189,219,623,not
786,760,651,acute
538,666,526,acute
44,490,301,not
631,424,665,acute
702,2,253,not
426,645,742,acute
281,917,112,not
136,747,569,not
840,350,698,obtuse
401,711,605,acute
815,174,255,not
993,158,597,not
205,672,864,obtuse
281,23,68,not
29,483,730,not
918,855,647,acute
626,309,269,not
798,215,986,obtuse
262,35,686,not
943,76,25,not
485,932,758,obtuse
362,33,864,not
382,233,68,not
811,901,368,obtuse
343,569,984,not
297,876,66,not
685,131,712,obtuse
396,250,307,obtuse
691,679,254,acute
327,140,918,not
882,527,302,not
701,499,690,acute
313,234,12,not
636,874,197,not
698,405,907,obtuse
980,775,787,acute
58,300,497,not
999,397,285,not
321,640,819,obtuse
584,704,355,obtuse
735,927,812,acute
280,845,275,not
142,167,597,not
990,806,869,acute
956,39,494,not
23,739,829,not
473,627,421,acute
841,901,62,obtuse
636,859,713,acute
146,395,714,not
830,230,637,obtuse
777,205,321,not
680,222,495,obtuse
524,284,677,obtuse
971,700,662,obtuse
939,115,674,not
258,970,39,not
649,339,105,not
424,766,541,obtuse
529,35,218,not
352,91,577,not
29,25,401,not
84,339,920,not
720,314,591,obtuse
237,66,672,not
46,282,617,not
32,544,191,not
24,648,178,not
184,287,659,not
399,99,286,not
1,236,303,not
419,925,211,not
688,804,674,acute
964,291,255,not
251,436,48,not
494,718,832,acute
731,440,164,not
85,130,285,not
687,785,447,acute
10,313,692,not
271,777,558,obtuse
951,42,193,not
306,831,146,not
787,653,112,not
277,647,293,not
352,292,601,obtuse
346,234,272,acute
410,927,628,obtuse
507,824,386,obtuse
411,51,736,not
136,303,650,not
778,774,519,acute
118,460,189,not
285,84,813,not
691,523,234,obtuse
207,254,735,not
524,434,577,acute
633,292,655,acute
488,895,737,obtuse
131,712,404,not
646,433,740,acute
903,513,569,obtuse
243,958,399,not
536,202,612,obtuse
68,618,414,not
728,651,867,acute
682,316,928,obtuse
348,989,294,not
45,680,297,not
161,524,262,not
178,61,924,not
385,78,86,not
265,458,395,acute
655,249,693,acute
721,666,300,acute
72,226,706,not
424,76,230,not
211,589,543,obtuse
595,980,771,obtuse
39,172,465,not
17,110,478,not
890,603,557,obtuse
787,948,545,acute
885,121,789,obtuse
13,348,582,not
450,790,781,acute
765,161,991,not
745,327,455,obtuse
611,784,834,acute
594,169,154,not
282,924,25,not
354,670,5,not
967,644,652,obtuse
219,839,127,not
598,61,531,not
464,231,20,not
892,135,417,not
873,337,461,not
515,862,175,not
299,714,235,not
735,757,110,obtuse
345,175,100,not
439,386,135,obtuse
731,180,395,not
539,983,764,obtuse
869,288,991,obtuse
600,998,499,obtuse
891,830,252,obtuse
453,420,764,obtuse
345,243,877,not
685,844,595,acute
959,557,387,not
624,661,385,acute
434,619,299,obtuse
949,667,805,acute
723,87,91,not
111,702,611,obtuse
733,321,328,not
963,369,134,not
373,969,525,not
933,255,683,obtuse
72,700,337,not
921,301,809,obtuse
23,479,943,not
325,600,323,obtuse
238,837,125,not
61,904,531,not
477,861,526,obtuse
931,610,745,acute
793,599,979,acute
970,159,450,not
21,988,313,not
101,493,685,not
607,274,18,not
941,375,272,not
951,408,122,not
836,592,372,obtuse
443,304,284,obtuse
665,813,422,obtuse
863,655,276,obtuse
260,131,308,obtuse
580,309,297,obtuse
493,118,922,not
91,489,253,not
618,448,365,obtuse
838,306,461,not
712,712,286,acute
947,248,187,not
920,283,221,not
654,686,13,not
354,739,54,not
8,526,183,not
204,774,780,acute
557,299,462,obtuse
271,742,914,obtuse
946,986,980,acute
860,892,759,acute
955,774,580,acute
731,545,598,acute
496,502,184,acute
41,66,51,obtuse
617,55,287,not
889,663,138,not
855,920,26,not
309,614,711,obtuse
276,662,943,not
752,695,765,acute
785,174,666,obtuse
866,350,162,not
460,665,174,not
411,97,741,not
682,342,85,not
213,84,874,not
785,644,1,not
959,509,63,not
27,653,262,not
250,515,584,obtuse
742,90,486,not
968,736,161,not
941,296,805,obtuse
220,640,924,not
325,703,711,acute
683,564,201,obtuse
653,710,4,not
298,148,312,acute
731,848,625,acute
936,581,723,obtuse
532,89,387,not
686,282,725,acute
144,595,766,not
248,159,524,not
3,523,843,not
1,473,715,not
865,700,690,acute
115,633,154,not
796,855,4,not
483,613,448,acute
707,892,637,acute
6,436,980,not
649,47,240,not
388,934,353,not
727,159,213,not
138,569,855,not
67,195,451,not
41,70,65,acute
195,555,14,not
661,661,415,acute
47,950,688,not
190,103,376,not
887,64,356,not
91,50,477,not
186,964,534,not
277,920,602,not
628,597,753,acute
401,870,600,obtuse
985,995,363,acute
737,718,934,acute
622,87,94,not
284,438,212,obtuse
571,915,656,obtuse
91,513,996,not
99,860,466,not
678,517,142,not
30,178,303,not
609,82,414,not
750,430,976,obtuse
910,79,558,not
514,458,519,acute
439,193,746,not
70,710,65,not
896,445,184,not
861,101,621,not
818,486,360,obtuse
596,632,72,obtuse
846,250,134,not
985,446,702,obtuse
258,452,734,not
86,831,870,obtuse
432,114,33,not
533,490,624,acute
606,747,214,obtuse
439,911,781,obtuse
469,531,327,acute
645,596,185,obtuse
646,797,417,obtuse
846,426,63,not
33,707,564,not
930,658,308,obtuse
261,736,720,acute
866,251,742,obtuse
981,130,157,not
850,279,360,not
802,280,134,not
242,329,617,not
88,240,363,not
